group_type,group_value,num_questions,avg_citation_score,citation_pass_rate,diversity_score,embedding_dispersion,cluster_entropy
question_mode,qa,18,0.8663333333333333,,0.767,0.7698,0.7642
question_mode,multiple_choice,17,0.8302058823529412,,0.8924,0.7872,0.9975
topic,Quantum Computing,16,0.8870937499999999,,0.8368,0.6849,0.9887
topic,Artificial Intelligence,19,0.8165263157894737,,0.7654,0.7883,0.7425
estimated_difficulty,7,3,0.8294999999999999,,0.7386,0.5589,0.9183
estimated_difficulty,8,4,0.789125,,0.9205,0.8411,1.0
estimated_difficulty,3,4,0.9065,,0.9235,0.847,1.0
estimated_difficulty,5,4,0.91625,,0.845,0.69,1.0
estimated_difficulty,2,9,0.8632222222222221,,0.7679,0.7717,0.7642
estimated_difficulty,6,5,0.849,,0.896,0.821,0.971
estimated_difficulty,4,3,0.8208333333333334,,0.8762,0.834,0.9183
estimated_difficulty,9,3,0.765,,0.8988,0.8793,0.9183
